mat_idx,T_var/K,freq/Hz,rho/(kg/m^3),gamma/1,Mn/(kg/mol),R_const/(J/(mol*K))
1,273.15,1.65644673874508e+02,1.29249751775648e+00,1.4000,2.89700e-02,8.314462618
1,283.15,1.68649538354109e+02,1.24685042195014e+00,1.4000,2.89700e-02,8.314462618
1,293.15,1.71601793671042e+02,1.20431757453584e+00,1.4000,2.89700e-02,8.314462618
1,303.15,1.74504109966449e+02,1.16459078665737e+00,1.4000,2.89700e-02,8.314462618
1,313.15,1.77358938876075e+02,1.12740123575022e+00,1.4000,2.89700e-02,8.314462618
1,323.15,1.80168537773133e+02,1.09251337451704e+00,1.4000,2.89700e-02,8.314462618
1,333.15,1.82934990658897e+02,1.05971993689083e+00,1.4000,2.89700e-02,8.314462618
1,343.15,1.85660226250635e+02,1.02883781720875e+00,1.4000,2.89700e-02,8.314462618
1,353.15,1.88346033713218e+02,9.99704649512052e-01,1.4000,2.89700e-02,8.314462618
1,363.15,1.90994076399141e+02,9.72175952017572e-01,1.4000,2.89700e-02,8.314462618
1,373.15,1.93605903896620e+02,9.46122730738794e-01,1.4000,2.89700e-02,8.314462618
2,273.15,1.68459368901305e+02,1.24966708568722e+00,1.4000,2.89700e-02,8.314462618
2,283.15,1.71515293139789e+02,1.20553263095697e+00,1.4000,2.89700e-02,8.314462618
2,293.15,1.74517714261415e+02,1.16440922550048e+00,1.4000,2.89700e-02,8.314462618
2,303.15,1.77469347779348e+02,1.12599889314024e+00,1.4000,2.89700e-02,8.314462618
2,313.15,1.80372686988438e+02,1.09004171948097e+00,1.4000,2.89700e-02,8.314462618
2,323.15,1.83230027620014e+02,1.05630996272773e+00,1.4000,2.89700e-02,8.314462618
2,333.15,1.86043489087455e+02,1.02460322514022e+00,1.4000,2.89700e-02,8.314462618
2,343.15,1.88815032881469e+02,9.94744468761373e-01,1.4000,2.89700e-02,8.314462618
2,353.15,1.91546478569118e+02,9.66576708071542e-01,1.4000,2.89700e-02,8.314462618
2,363.15,1.94239517767194e+02,9.39960249085681e-01,1.4000,2.89700e-02,8.314462618
2,373.15,1.96895726395039e+02,9.14770372385006e-01,1.4000,2.89700e-02,8.314462618
3,273.15,1.29504889256739e+02,1.96350762017475e+00,1.3000,4.40095e-02,8.314462618
3,283.15,1.31854162750170e+02,1.89416248084313e+00,1.3000,4.40095e-02,8.314462618
3,293.15,1.34162305166909e+02,1.82954837608983e+00,1.3000,4.40095e-02,8.314462618
3,303.15,1.36431404085899e+02,1.76919711842564e+00,1.3000,4.40095e-02,8.314462618
3,313.15,1.38663376253420e+02,1.71270032396849e+00,1.3000,4.40095e-02,8.314462618
3,323.15,1.40859986536813e+02,1.65970015921625e+00,1.3000,4.40095e-02,8.314462618
3,333.15,1.43022864257082e+02,1.60988175431707e+00,1.3000,4.40095e-02,8.314462618
3,343.15,1.45153517330623e+02,1.56296694288426e+00,1.3000,4.40095e-02,8.314462618
3,353.15,1.47253344568462e+02,1.51870906541337e+00,1.3000,4.40095e-02,8.314462618
3,363.15,1.49323646418600e+02,1.47688863128386e+00,1.3000,4.40095e-02,8.314462618
3,373.15,1.51365634385416e+02,1.43730967828148e+00,1.3000,4.40095e-02,8.314462618
4,273.15,1.57632079092703e+02,1.42768106897505e+00,1.4000,3.19900e-02,8.314462618
4,283.15,1.60491591712298e+02,1.37725969977233e+00,1.4000,3.19900e-02,8.314462618
4,293.15,1.63301039989355e+02,1.33027830117870e+00,1.4000,3.19900e-02,8.314462618
4,303.15,1.66062964904466e+02,1.28639645057079e+00,1.4000,3.19900e-02,8.314462618
4,313.15,1.68779699502387e+02,1.24531720897504e+00,1.4000,3.19900e-02,8.314462618
4,323.15,1.71453391962285e+02,1.20678039297705e+00,1.4000,3.19900e-02,8.314462618
4,333.15,1.74086025477728e+02,1.17055705835370e+00,1.4000,3.19900e-02,8.314462618
4,343.15,1.76679435469686e+02,1.13644494824577e+00,1.4000,3.19900e-02,8.314462618
4,353.15,1.79235324557267e+02,1.10426471468366e+00,1.4000,3.19900e-02,8.314462618
4,363.15,1.81755275632935e+02,1.07385676439635e+00,1.4000,3.19900e-02,8.314462618
4,373.15,1.84240763327945e+02,1.04507861179294e+00,1.4000,3.19900e-02,8.314462618
5,273.15,6.32677317280034e+02,8.99439073454282e-02,1.4100,2.00000e-03,8.314462618
5,283.15,6.44154351544296e+02,8.67673610856567e-02,1.4100,2.00000e-03,8.314462618
5,293.15,6.55430445910344e+02,8.38075329742579e-02,1.4100,2.00000e-03,8.314462618
5,303.15,6.66515798941787e+02,8.10429763859598e-02,1.4100,2.00000e-03,8.314462618
5,313.15,6.77419774624100e+02,7.84549841654278e-02,1.4100,2.00000e-03,8.314462618
5,323.15,6.88150994960009e+02,7.60271647575544e-02,1.4100,2.00000e-03,8.314462618
5,333.15,6.98717419760815e+02,7.37450946762831e-02,1.4100,2.00000e-03,8.314462618
5,343.15,7.09126415732761e+02,7.15960317394833e-02,1.4100,2.00000e-03,8.314462618
5,353.15,7.19384816564041e+02,6.95686770250707e-02,1.4100,2.00000e-03,8.314462618
5,363.15,7.29498975404110e+02,6.76529761569701e-02,1.4100,2.00000e-03,8.314462618
5,373.15,7.39474810881580e+02,6.58399525429551e-02,1.4100,2.00000e-03,8.314462618
6,273.15,4.85413392494674e+02,1.78593978722098e-01,1.6667,4.00000e-03,8.314462618
6,283.15,4.94218996845913e+02,1.72286580568395e-01,1.6667,4.00000e-03,8.314462618
6,293.15,5.02870432689759e+02,1.66409501238073e-01,1.6667,4.00000e-03,8.314462618
6,303.15,5.11375524740685e+02,1.60920155988590e-01,1.6667,4.00000e-03,8.314462618
6,313.15,5.19741457393983e+02,1.55781399610222e-01,1.6667,4.00000e-03,8.314462618
6,323.15,5.27974845768473e+02,1.50960684783973e-01,1.6667,4.00000e-03,8.314462618
6,333.15,5.36081796925069e+02,1.46429372018433e-01,1.6667,4.00000e-03,8.314462618
6,343.15,5.44067962872843e+02,1.42162160244619e-01,1.6667,4.00000e-03,8.314462618
6,353.15,5.51938586669598e+02,1.38136614152459e-01,1.6667,4.00000e-03,8.314462618
6,363.15,5.59698542686227e+02,1.34332769621206e-01,1.6667,4.00000e-03,8.314462618
6,373.15,5.67352371912945e+02,1.30732802593973e-01,1.6667,4.00000e-03,8.314462618
